Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,6,184,Mike Gibson,T,2012,0,0,0,3,20,,,,,,,,,1,-2,0,,,California
2008,6,200,Joe Mays,LB,2012,0,0,1,11,47,,,,,,,,,,,,,0.5,North Dakota St.
2008,6,203,Andy Studebaker,LB,2012,0,0,0,8,70,,,,,,,,,,,,2,2.5,Wheaton
2008,7,230,King Dunlap,T,2012,0,0,1,10,52,,,,,,,,,,,,,,Auburn
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,2,36,Kevin Kolb,QB,2012,0,0,1,12,34,449,755,5206,28,25,69,229,2,,,,,,Houston
2007,2,57,Victor Abiamiri,DE,2011,0,0,0,5,29,,,,,,,,,,,,,4.0,Notre Dame
2007,3,87,Stewart Bradley,LB,2012,0,0,2,18,76,,,,,,,,,,,,3,3.0,Nebraska
2007,3,90,Tony Hunt,RB,2008,0,0,0,0,14,,,,,,14,25,2,6,42,0,,,Penn St.
2007,5,159,C.J. Gaddis,DB,,0,0,0,,,,,,,,,,,,,,,,Clemson
2007,5,162,Brent Celek,TE,2012,0,0,5,37,95,,,,,,,,,280,3473,20,,,Cincinnati
2007,6,201,Rashad Barksdale,DB,2007,0,0,0,0,6,,,,,,,,,,,,,,Albany
2007,7,236,Nate Ilaoa,RB,,0,0,0,,,,,,,,,,,,,,,,Hawaii
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,14,Brodrick Bunkley,DT,2012,0,0,5,35,107,,,,,,,,,,,,,8.5,Florida St.
2006,2,39,Winston Justice,T,2012,0,0,3,21,59,,,,,,,,,,,,,,USC
2006,3,71,Chris Gocong,DE,2012,0,0,5,32,79,,,,,,,,,,,,,9.5,Cal Poly-San Luis Obispo
2006,4,99,Max Jean-Gilles,G,2010,0,0,2,12,42,,,,,,,,,,,,,,Georgia
2006,4,109,Jason Avant,WR,2012,0,0,1,24,100,,,,,,1,1,0,259,3199,10,,,Michigan
2006,5,147,Jeremy Bloom,DB,,0,0,0,,,,,,,,,,,,,,,,Colorado
2006,5,168,Omar Gaither,LB,2012,0,0,2,24,84,,,,,,,,,,,,2,6.0,Tennessee
2006,6,204,LaJuan Ramsey,DT,2009,0,0,0,4,34,,,,,,,,,,,,1,1.0,USC
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,31,Mike Patterson,DT,2012,0,0,6,45,115,,,,,,,,,,,,1,16.5,USC
2005,2,35,Reggie Brown,WR,2009,0,0,3,20,72,,,,,,11,68,1,177,2574,17,,,Georgia
2005,2,63,Matt McCoy,LB,2011,0,0,1,9,65,,,,,,,,,,,,,2.0,San Diego St.
2005,3,77,Ryan Moats,RB,2009,0,0,0,7,38,,,,,,204,831,8,20,127,1,,,Louisiana Tech
2005,4,102,Sean Considine,DB,2012,0,0,2,15,98,,,,,,1,3,0,,,,4,2.5,Iowa
2005,4,126,Todd Herremans,T,2012,0,0,7,41,103,,,,,,,,,2,3,2,,,Saginaw Valley St.
2005,5,146,Trent Cole,DE,2012,0,2,7,60,124,,,,,,,,,,,,1,71.0,Cincinnati
2005,5,172,Scott Young,G,2008,0,0,0,1,14,,,,,,,,,,,,,,BYU
2005,6,211,Calvin Armstrong,T,,0,0,0,,,,,,,,,,,,,,,,Washington St.
2005,7,247,Keyonta Marshall,DT,2005,0,0,0,0,1,,,,,,,,,,,,,,Grand Valley St.
2005,7,252,David Bergeron,LB,,0,0,0,,,,,,,,,,,,,,,,Stanford
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,1,16,Shawn Andrews,G,2010,1,2,3,29,63,,,,,,,,,,,,,,Arkansas
2004,3,89,Matt Ware,DB,2010,0,0,0,6,95,,,,,,,,,,,,1,,UCLA
2004,4,129,J.R. Reed,DB,2008,0,0,0,3,43,,,,,,,,,,,,,,South Florida
2004,4,131,Trey Darilek,G,2005,0,0,0,1,18,,,,,,,,,,,,,,Texas-El Paso
2004,5,162,Thomas Tapeh,FB,2008,0,0,2,6,41,,,,,,22,69,0,27,157,1,,,Minnesota
2004,6,185,Andy Hall,QB,2005,0,0,0,0,1,,,,,,,,,,,,,,Delaware
2004,6,192,Dexter Wynn,DB,2008,0,0,0,5,47,,,,,,,,,,,,,1.0,Colorado St.
2004,7,227,Adrien Clarke,G,2007,0,0,1,7,28,,,,,,,,,,,,,,Ohio St.
2004,7,242,Bruce Perry,RB,2006,0,0,0,0,5,,,,,,16,74,0,,,,,,Maryland
2004,7,243,Dominic Furio,C,,0,0,0,,,,,,,,,,,,,,,,UNLV
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,15,Jerome McDougle,DE,2008,0,0,0,3,37,,,,,,,,,,,,,3.0,Miami (FL)
2003,2,61,L.J. Smith,TE,2009,0,0,4,30,98,,,,,,,,,233,2556,18,,,Rutgers
2003,3,95,Billy McMullen,WR,2008,0,0,0,5,49,,,,,,,,,52,725,3,,,Virginia
2003,4,131,Jamaal Green,DE,2005,0,0,0,1,8,,,,,,,,,,,,,1.0,Miami (FL)
2003,6,185,Jeremy Bridges,G,2012,0,0,2,18,112,,,,,,,,,,,,,,Southern Miss
2003,7,244,Norman LeJeune,DB,2006,0,0,0,0,7,,,,,,,,,,,,,,LSU
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,26,Lito Sheppard,DB,2011,1,2,6,46,126,,,,,,,,,,,,19,3.0,Florida
2002,2,58,Michael Lewis,DB,2010,0,1,6,43,128,,,,,,,,,,,,12,11.5,Colorado
2002,2,59,Sheldon Brown,DB,2012,0,0,9,55,175,,,,,,,,,,,,26,8.0,South Carolina
2002,3,91,Brian Westbrook,RB,2010,1,2,7,69,121,1,2,25,1,0,1385,6335,41,442,3940,30,,,Villanova
2002,4,124,Scott Peters,C,2003,0,0,0,1,7,,,,,,,,,,,,,,Arizona St.
2002,5,162,Freddie Milons,WR,,0,0,0,,,,,,,,,,,,,,,,Alabama
2002,6,198,Tyreo Harrison,LB,2003,0,0,0,1,14,,,,,,,,,,,,,,Notre Dame
2002,7,238,Raheem Brock,DE,2011,0,0,6,42,152,,,,,,,,,,,,,40.5,Temple
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2001,1,25,Freddie Mitchell,WR,2004,0,0,1,13,63,1,3,25,1,0,2,-4,0,90,1263,5,,,UCLA
2001,2,55,Quinton Caver,LB,2005,0,0,0,5,53,,,,,,,,,,,,,,Arkansas
2001,3,63,Derrick Burgess,DE,2010,0,2,4,41,102,,,,,,,,,,,,,52.0,Mississippi
2001,4,121,Correll Buckhalter,RB,2010,0,0,0,28,103,,,,,,655,2944,21,144,1410,6,,,Nebraska
2001,5,147,Tony Stewart,TE,2009,0,0,1,13,115,,,,,,,,,76,623,3,,,Penn St.
2001,5,155,A.J. Feeley,QB,2011,0,0,1,7,28,425,762,4618,28,31,37,49,1,,,,,,Oregon
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,1,6,Corey Simon,DT,2007,0,1,6,45,95,,,,,,,,,,,,,32.0,Florida St.
2000,2,36,Todd Pinkston,WR,2004,0,0,4,27,78,,,,,,3,-21,0,184,2816,14,,,Southern Miss
2000,2,61,Bobbie Williams,G,2012,0,0,8,43,164,,,,,,,,,,,,,,Arkansas
2000,4,99,Gari Scott,WR,2001,0,0,0,0,3,,,,,,,,,2,26,0,,,Michigan St.
2000,6,171,Thomas Hamner,RB,,0,0,0,,,,,,,,,,,,,,,,Minnesota
2000,6,178,John Frank,DE,,0,0,0,,,,,,,,,,,,,,,,Utah
2000,6,192,John Romero,C,,0,0,0,,,,,,,,,,,,,,,,California
