Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,7,241,Geoff Schwartz,T,2012,0,0,1,7,45,,,,,,,,,,,,,,Oregon
2008,7,250,Mackenzy Bernadeau,G,2012,0,0,1,16,63,,,,,,,,,,,,,,Bentley
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,25,Jon Beason,LB,2012,1,3,4,47,69,,,,,,,,,,,,9,4.0,Miami (FL)
2007,2,45,Dwayne Jarrett,WR,2010,0,0,0,4,32,,,,,,1,11,0,35,428,1,,,USC
2007,2,59,Ryan Kalil,C,2012,0,3,4,31,70,,,,,,,,,,,,,,USC
2007,3,83,Charles Johnson,DE,2012,0,0,3,25,79,,,,,,,,,,,,,43.0,Georgia
2007,4,118,Ryne Robinson,WR,2007,0,0,0,0,16,,,,,,,,,4,35,0,,,
2007,5,155,Dante Rosario,TE,2012,0,0,1,16,91,,,,,,1,-2,0,99,1106,8,,,Oregon
2007,5,164,Tim Shaw,LB,2012,0,0,0,6,79,,,,,,,,,,,,,,Penn St.
2007,7,226,C.J. Wilson,DB,2011,0,0,0,1,23,,,,,,,,,,,,,,Baylor
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,27,DeAngelo Williams,RB,2012,0,1,3,44,96,,,,,,1169,5784,43,147,1244,6,,,Memphis
2006,2,58,Richard Marshall,DB,2012,0,0,3,31,100,,,,,,,,,,,,18,7.0,Fresno St.
2006,3,88,James Anderson,LB,2012,0,0,3,25,94,,,,,,,,,,,,3,8.0,Virginia Tech
2006,3,89,Rashad Butler,T,2012,0,0,0,6,42,,,,,,,,,,,,,,Miami (FL)
2006,4,121,Nate Salley,DB,2008,0,0,0,2,24,,,,,,,,,,,,,,Ohio St.
2006,5,155,Jeff King,TE,2012,0,0,6,19,108,,,,,,,,,156,1323,12,,,Virginia Tech
2006,7,234,Will Montgomery,G,2012,0,0,2,19,74,,,,,,,,,,,,,,Virginia Tech
2006,7,237,Stanley McClover,DE,2008,0,0,0,1,14,,,,,,,,,,,,,1.0,Auburn
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,14,Thomas Davis,LB,2012,0,0,5,32,86,,,,,,,,,,,,4,11.0,Georgia
2005,2,54,Eric Shelton,RB,2006,0,0,0,0,9,,,,,,8,23,0,1,6,0,,,Louisville
2005,3,79,Evan Mathis,G,2012,0,0,3,22,89,,,,,,,,,,,,,,Alabama
2005,3,89,Atiyyah Ellison,DT,,0,0,0,,,,,,,,,,,,,,,,Missouri
2005,4,121,Stefan Lefors,QB,,0,0,0,,,,,,,,,,,,,,,,Louisville
2005,5,149,Adam Seward,LB,2009,0,0,0,4,43,,,,,,,,,,,,,,UNLV
2005,5,169,Geoff Hangartner,C,2012,0,0,5,29,108,,,,,,,,,,,,,,Texas A&M
2005,5,171,Ben Emanuel,DB,2005,0,0,0,3,11,,,,,,,,,,,,1,0.5,UCLA
2005,6,189,Jovan Haye,DE,2011,0,0,3,26,73,,,,,,,,,,,,,6.5,Vanderbilt
2005,6,207,Joe Berger,T,2012,0,0,1,12,67,,,,,,,,,,,,,,Michigan Tech
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,1,28,Chris Gamble,DB,2012,0,0,8,47,123,,,,,,,,,,,,27,1.0,Ohio St.
2004,2,62,Keary Colbert,WR,2011,0,0,3,15,75,,,,,,1,6,0,130,1629,8,,,USC
2004,3,94,Travelle Wharton,T,2012,0,0,7,39,99,,,,,,,,,,,,,,South Carolina
2004,5,163,Drew Carter,WR,2007,0,0,0,8,33,,,,,,2,18,0,71,977,8,,,Ohio St.
2004,6,196,Sean Tufts,LB,2005,0,0,0,1,15,,,,,,,,,,,,,,Colorado
2004,7,232,Michael Gaines,TE,2009,0,0,2,13,83,,,,,,,,,84,869,6,,,Central Florida
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,8,Jordan Gross,T,2012,1,2,10,62,151,,,,,,,,,,,,,,Utah
2003,2,50,Bruce Nelson,G,2003,0,0,0,1,14,,,,,,,,,,,,,,Iowa
2003,3,76,Mike Seidman,TE,2006,0,0,0,5,43,,,,,,,,,18,158,2,,,UCLA
2003,3,82,Ricky Manning,DB,2008,0,0,1,24,84,,,,,,,,,,,,14,4.0,UCLA
2003,4,119,Colin Branch,DB,2006,0,0,1,10,48,,,,,,,,,,,,4,,Stanford
2003,5,145,Kindal Moorehead,DT,2008,0,0,1,14,89,,,,,,,,,,,,1,10.5,Alabama
2003,7,226,Walter Young,WR,2006,0,0,0,0,9,,,,,,,,,1,17,0,,,Illinois
2003,7,247,Casey Moore,RB,,0,0,0,,,,,,,,,,,,,,,,Stanford
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,2,Julius Peppers,DE,2012,3,8,11,115,170,,,,,,,,,,,,8,111.5,North Carolina
2002,2,34,DeShaun Foster,RB,2008,0,0,3,31,79,0,1,0,0,0,927,3570,11,142,1129,5,,,UCLA
2002,3,73,Will Witherspoon,LB,2012,0,0,8,65,173,,,,,,,,,,,,13,26.0,Georgia
2002,4,100,Dante Wesley,DB,2010,0,0,0,10,107,,,,,,,,,,,,,2.0,Ark-Pine Bluff
2002,5,137,Randy Fasani,QB,2002,0,0,0,1,4,15,44,171,0,4,18,95,0,,,,,,Stanford
2002,5,145,Kyle Johnson,RB,2007,0,0,2,4,45,,,,,,9,39,1,33,323,8,,,Syracuse
2002,6,174,Keith Heinrich,TE,2007,0,0,0,1,22,,,,,,,,,9,65,2,,,Sam Houston St.
2002,7,213,Pete Campion,G,,0,0,0,,,,,,,,,,,,,,,,North Dakota St.
2002,7,258,Brad Franklin,DB,2003,0,0,0,0,4,,,,,,,,,,,,,,La-Lafayette
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2001,1,11,Dan Morgan,LB,2007,0,1,5,30,59,,,,,,,,,,,,5,7.0,Miami (FL)
2001,2,44,Kris Jenkins,DT,2010,2,4,6,66,108,,,,,,,,,,,,,24.0,Maryland
2001,3,74,Steve Smith,WR,2012,2,4,10,91,167,0,1,0,0,0,57,387,2,772,11452,63,,,Utah
2001,4,106,Chris Weinke,QB,2007,0,0,1,9,29,386,709,3904,15,26,54,148,6,,,,,,Florida St.
2001,5,143,Jarrod Cooper,DB,2007,0,0,1,9,87,,,,,,,,,,,,,1.5,Kansas St.
2001,6,175,Dee Brown,RB,2006,0,0,0,2,43,0,1,0,0,1,119,405,4,21,114,2,,,Syracuse
2001,7,211,Louis Williams,C,2002,0,0,0,0,2,,,,,,,,,,,,,,LSU
2001,7,227,Mike Roberg,TE,2002,0,0,0,1,13,,,,,,,,,2,17,1,,,Idaho
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,1,23,Rashard Anderson,DB,2001,0,0,1,6,27,,,,,,,,,,,,1,,Jackson St.
2000,2,57,Deon Grant,DB,2011,0,0,10,60,176,,,,,,,,,,,,30,6.5,Tennessee
2000,3,82,Leander Jordan,T,2005,0,0,1,8,37,,,,,,,,,,,,,,
2000,4,120,Alvin McKinley,DE,2007,0,0,3,23,97,,,,,,,,,,,,,11.5,Mississippi St.
2000,5,147,Gillis Wilson,DE,2001,0,0,0,1,5,,,,,,,,,,,,,0.5,Saginaw Valley St.
2000,6,182,Jeno James,G,2006,0,0,4,22,94,,,,,,,,,,,,,,Auburn
