Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,6,195,David Irons,DB,2008,0,0,0,1,20,,,,,,,,,,,,,,Auburn
2007,6,198,Doug Datish,C,,0,0,0,,,,,,,,,,,,,,,,Ohio St.
2007,6,203,Daren Stone,DB,2008,0,0,0,2,20,,,,,,,,,,,,,,Miami (FL)
2007,7,244,Jason Snelling,RB,2012,0,0,0,20,82,,,,,,319,1256,7,139,1033,6,,,Virginia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,2,37,Jimmy F. Williams,DB,2007,0,0,0,4,26,,,,,,,,,,,,1,,Virginia Tech
2006,3,79,Jerious Norwood,RB,2011,0,0,0,20,66,0,2,0,0,1,399,2056,7,96,912,3,,,Mississippi St.
2006,5,139,Quinn Ojinnaka,G,2012,0,0,1,9,62,,,,,,,,,,,,,,Syracuse
2006,6,184,Adam Jennings,WR,2009,0,0,0,0,46,,,,,,1,-4,0,6,62,1,,,Fresno St.
2006,7,218,Todd Watkins,WR,2009,0,0,0,1,21,,,,,,,,,8,90,0,,,BYU
2006,7,223,D.J. Shockley,QB,,0,0,0,,,,,,,,,,,,,,,,Georgia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,27,Roddy White,WR,2012,1,4,7,77,128,,,,,,9,19,0,622,8725,52,,,Ala-Birmingham
2005,2,59,Jonathan Babineaux,DE,2012,0,0,7,44,122,,,,,,,,,,,,3,22.5,Iowa
2005,3,90,Jordan Beck,LB,2007,0,0,0,2,26,,,,,,,,,,,,,,Cal Poly-San Luis Obispo
2005,4,128,Chauncey Davis,DE,2011,0,0,1,20,102,,,,,,,,,,,,2,11.0,Florida St.
2005,5,160,Michael Boley,LB,2012,0,0,8,41,121,,,,,,,,,,,,8,9.5,Southern Miss
2005,5,163,Frank Omiyale,T,2012,0,0,2,15,75,,,,,,,,,,,,,,Tennessee Tech
2005,6,201,DeAndra Cobb,RB,2005,0,0,0,0,3,,,,,,,,,,,,,,Michigan St.
2005,7,241,Darrell Shropshire,DT,2006,0,0,0,2,23,,,,,,,,,,,,,3.0,South Carolina
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,1,8,DeAngelo Hall,DB,2012,0,3,9,65,133,,,,,,,,,1,0,0,39,2.0,Virginia Tech
2004,1,29,Michael Jenkins,WR,2012,0,0,5,39,130,,,,,,2,4,0,354,4427,25,,,Ohio St.
2004,3,90,Matt Schaub,QB,2012,0,2,6,66,118,1816,2823,21944,120,70,178,328,4,1,-6,0,,,Virginia
2004,4,101,Demorrio Williams,LB,2012,0,0,5,34,138,,,,,,,,,,,,7,7.5,Nebraska
2004,5,142,Chad Lavalais,DT,2005,0,0,1,9,30,,,,,,,,,,,,,2.5,LSU
2004,6,186,Etric Pruitt,DB,2005,0,0,0,0,9,,,,,,,,,,,,,,Southern Miss
2004,7,219,Quincy Wilson,RB,2007,0,0,0,0,4,,,,,,2,2,0,,,,,,West Virginia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
