Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,3,78,James Jones,WR,2012,0,0,1,32,90,,,,,,,,,251,3488,34,,,San Jose St.
2007,3,89,Aaron Rouse,DB,2009,0,0,2,11,41,,,,,,,,,,,,4,1.0,Virginia Tech
2007,4,119,Allen Barbre,T,2011,0,0,0,7,32,,,,,,,,,,,,,,Missouri Southern
2007,5,157,David Clowney,WR,2010,0,0,0,4,28,,,,,,3,1,0,22,341,1,,,Virginia Tech
2007,6,192,Korey Hall,LB,2011,0,0,2,7,61,,,,,,,,,21,137,1,,,Boise St.
2007,6,193,Desmond Bishop,LB,2012,0,0,2,18,69,,,,,,,,,,,,1,9.0,California
2007,6,194,Mason Crosby,K,2012,0,0,4,0,96,,,,,,,,,,,,,,Colorado
2007,7,228,DeShawn Wynn,RB,2010,0,0,0,3,23,,,,,,64,332,5,14,122,0,,,Florida
2007,7,243,Clark Harris,TE,2012,0,0,0,2,63,,,,,,,,,,,,,,Rutgers
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,5,A.J. Hawk,LB,2012,0,0,7,47,110,,,,,,,,,,,,8,13.5,Ohio St.
2006,2,47,Daryn Colledge,T,2012,0,0,7,42,112,,,,,,,,,,,,,,Boise St.
2006,2,52,Greg Jennings,WR,2012,0,2,6,56,96,,,,,,1,-1,0,425,6537,53,,,West. Michigan
2006,3,67,Abdul Hodge,LB,2010,0,0,0,2,35,,,,,,,,,,,,,,Iowa
2006,3,75,Jason Spitz,G,2012,0,0,3,19,75,,,,,,,,,,,,,,Louisville
2006,4,104,Cory Rodgers,WR,,0,0,0,,,,,,,,,,,,,,,,TCU
2006,4,115,Will Blackmon,DB,2011,0,0,0,6,43,,,,,,,,,,,,,,Boston Col.
2006,5,148,Ingle Martin,QB,2006,0,0,0,0,1,,,,,,2,-5,0,,,,,,Furman
2006,5,165,Tony Moll,T,2011,0,0,0,12,63,,,,,,,,,,,,,,Nevada-Reno
2006,6,183,Johnny Jolly,DT,2009,0,0,2,18,48,,,,,,,,,,,,1,2.0,Texas A&M
2006,7,253,Dave Tollefson,DE,2012,0,0,0,6,77,,,,,,,,,,,,,10.5,NW Missouri St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
