Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,7,250,Ahmad Bradshaw,RB,2012,0,0,3,36,84,,,,,,921,4232,32,132,1087,3,,,Marshall
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,32,Mathias Kiwanuka,DE,2012,0,0,3,29,93,,,,,,,,,,,,3,30.0,Boston Col.
2006,2,44,Sinorice Moss,WR,2009,0,0,0,4,37,,,,,,1,4,0,39,421,3,,,Miami (FL)
2006,3,96,Gerris Wilkinson,LB,2010,0,0,0,6,58,,,,,,,,,,,,,,Georgia Tech
2006,4,124,Barry Cofield,DT,2012,0,0,7,40,111,,,,,,,,,,,,,16.0,Northwestern
2006,4,129,Guy Whimper,DE,2012,0,0,1,8,67,,,,,,,,,3,28,1,,,East Carolina
2006,5,158,Charlie Peprah,DB,2012,0,0,2,12,74,,,,,,,,,,,,8,,Alabama
2006,7,232,Gerrick McPhearson,DB,,0,0,0,,,,,,,,,,,,,,,,Maryland
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,2,43,Corey Webster,DB,2012,0,0,6,36,117,,,,,,,,,,,,20,2.0,LSU
2005,3,74,Justin Tuck,DE,2012,1,2,5,51,111,,,,,,,,,,,,1,49.5,Notre Dame
2005,4,110,Brandon Jacobs,RB,2012,0,0,3,36,102,,,,,,1083,4856,56,80,730,4,,,Southern Illinois
2005,6,186,Eric Moore,DE,2011,0,0,0,5,35,,,,,,,,,,,,,4.0,Florida St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,1,4,Philip Rivers,QB,2012,0,4,7,94,116,2268,3564,27891,189,93,221,338,3,,,,,,North Carolina St.
2004,2,34,Chris Snee,G,2012,1,4,9,62,138,,,,,,,,,,,,,,Boston Col.
2004,4,97,Reggie Torbor,LB,2011,0,0,2,16,104,,,,,,,,,,,,2,6.5,Auburn
2004,5,136,Gibril Wilson,DB,2011,0,0,6,34,100,,,,,,,,,,,,13,8.5,Tennessee
2004,6,168,Jamaar Taylor,WR,2005,0,0,0,1,13,,,,,,1,-8,0,6,146,0,,,Texas A&M
2004,7,203,Drew Strojny,T,,0,0,0,,,,,,,,,,,,,,,,Duke
2004,7,235,Derrick Ward,RB,2011,0,0,0,25,93,,,,,,551,2628,12,96,787,3,,,
2004,7,253,Isaac Hilton,DE,,0,0,0,,,,,,,,,,,,,,,,Hampton
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,25,William Joseph,DT,2009,0,0,1,11,69,,,,,,,,,,,,,7.0,Miami (FL)
2003,2,56,Osi Umenyiora,DE,2012,1,2,5,56,129,,,,,,,,,,,,,75.0,
2003,3,91,Visanthe Shiancoe,TE,2012,0,0,5,34,148,,,,,,,,,243,2677,27,,,Morgan St.
2003,4,123,Roderick Babers,DB,2004,0,0,0,0,7,,,,,,,,,,,,,,Texas
2003,5,160,David Diehl,G,2012,0,1,9,55,153,,,,,,,,,,,,,,Illinois
2003,6,199,Willie Ponder,WR,2006,0,0,0,2,38,,,,,,2,0,0,8,38,0,,,SE Missouri St.
2003,6,207,Frank Walker,DB,2011,0,0,1,14,107,,,,,,,,,,,,9,,Tuskegee
2003,6,211,David Tyree,WR,2009,0,1,0,5,83,,,,,,1,-9,0,54,650,4,,,Syracuse
2003,7,240,Charles Drake,DB,,0,0,0,,,,,,,,,,,,,,,,Michigan
