Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1995,1,17,Tyrone Wheatley,RB,2004,0,0,4,39,124,1,1,24,1,0,1270,4962,40,125,900,7,,,Michigan
1995,2,54,Scott Gragg,T,2005,0,0,9,56,171,,,,,,,,,,,,,,Montana
1995,3,85,Rodney Young,DB,1998,0,0,0,3,33,,,,,,,,,,,,,,LSU
1995,4,128,Rob Zatechka,G,1997,0,0,0,5,47,,,,,,,,,,,,,,Nebraska
1995,4,133,Ben Talley,LB,1998,0,0,0,1,12,,,,,,,,,,,,,,Tennessee
1995,5,153,Roderick Mullen,DB,1999,0,0,0,5,53,,,,,,,,,,,,1,,Grambling St.
1995,6,204,Jamal Duff,DE,1998,0,0,0,7,41,,,,,,,,,,,,,9.0,San Diego St.
1995,6,206,Charles Way,RB,1999,0,0,4,15,75,,,,,,337,1356,10,118,898,4,,,Virginia
1995,7,225,Bryne Diehl,P,,0,0,0,,,,,,,,,,,,,,,,Alabama
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1994,1,24,Thomas Lewis,WR,1997,0,0,1,9,34,,,,,,,,,74,1032,5,,,Indiana
1994,2,47,Thomas Randolph,DB,1999,0,0,2,18,95,,,,,,,,,,,,6,,Kansas St.
1994,2,59,Jason Sehorn,DB,2003,0,0,5,38,117,,,,,,,,,,,,19,5.5,USC
1994,3,95,Gary Downs,RB,2000,0,0,0,1,69,,,,,,45,149,0,9,66,0,,,North Carolina St.
1994,4,128,Chris Maumalanga,DT,1996,0,0,0,1,14,,,,,,,,,,,,,,Kansas
1994,5,155,Chad Bratzke,DE,2003,0,0,7,48,129,,,,,,,,,,,,,56.5,East. Kentucky
1994,6,186,Jason Winrow,G,,0,0,0,,,,,,,,,,,,,,,,Ohio St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1993,2,40,Michael Strahan,DE,2007,4,7,14,121,216,,,,,,,,,,,,4,141.5,Texas Southern
1993,3,66,Marcus Buckley,LB,1999,0,0,1,17,101,,,,,,,,,,,,1,1.5,Texas A&M
1993,4,93,Greg Bishop,G,1999,0,0,4,23,101,,,,,,,,,,,,,,Pacific
1993,5,123,Tommy Thigpen,LB,,0,0,0,,,,,,,,,,,,,,,,North Carolina
1993,6,150,Scott L. Davis,G,1997,0,0,0,3,21,,,,,,,,,,,,,,Iowa
1993,7,177,Todd Peterson,K,2005,0,0,11,0,159,,,,,,,,,,,,,,Georgia
1993,8,207,Jessie Armstead,LB,2003,1,5,8,79,176,,,,,,,,,,,,12,40.0,Miami (FL)
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1992,1,14,Derek V. Brown,TE,1999,0,0,1,12,105,,,,,,,,,43,401,1,,,Notre Dame
1992,2,41,Phillippi Sparks,DB,2000,0,0,7,40,115,,,,,,,,,,,,27,1.0,Arizona St.
1992,3,69,Aaron Pierce,TE,1999,0,0,3,16,82,,,,,,2,7,1,97,1029,5,,,Washington
1992,4,99,Keith Hamilton,DT,2003,0,0,10,71,173,,,,,,,,,,,,,63.0,Pittsburgh
1992,5,126,Michael Wright,DB,,0,0,0,,,,,,,,,,,,,,,,Washington St.
1992,6,153,Stacey Dillard,NT,1995,0,0,1,14,59,,,,,,,,,,,,,5.5,Oklahoma
1992,7,180,Corey Widmer,LB,1999,0,0,4,33,114,,,,,,,,,,,,4,7.5,Montana St.
1992,8,211,Kent Graham,QB,2001,0,0,1,20,83,694,1339,7801,39,33,121,424,5,2,15,0,,,Ohio St.
1992,9,238,Anthony Prior,DB,1998,0,0,0,4,59,,,,,,,,,,,,,,Washington St.
1992,10,265,George Rooks,DT,,0,0,0,,,,,,,,,,,,,,,,Syracuse
1992,11,292,Nate Singleton,WR,1997,0,0,0,7,44,,,,,,,,,38,539,4,,,Grambling St.
1992,12,323,Charles Swann,WR,1994,0,0,0,0,13,,,,,,,,,,,,,,Indiana St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1991,1,27,Jarrod Bunch,FB,1994,0,0,2,11,48,,,,,,138,629,5,26,156,2,,,Michigan
1991,2,55,Kanavis McGhee,LB,1995,0,0,0,5,50,,,,,,,,,,,,,3.0,Colorado
1991,3,83,Ed McCaffrey,WR,2003,0,1,6,65,185,,,,,,3,21,0,565,7422,55,,,Stanford
1991,4,111,Clarence Jones,T,2000,0,0,6,35,111,,,,,,,,,,,,,,Maryland
1991,5,139,Anthony Moss,LB,,0,0,0,,,,,,,,,,,,,,,,Florida St.
1991,6,167,Corey Miller,LB,1999,0,0,5,36,110,,,,,,,,,,,,7,14.0,South Carolina
1991,7,195,Simmie Carter,DB,,0,0,0,,,,,,,,,,,,,,,,Southern Miss
1991,8,223,Lamar McGriggs,DB,1994,0,0,1,9,57,,,,,,,,,,,,2,,West. Illinois
1991,9,250,Jerry Bouldin,WR,,0,0,0,,,,,,,,,,,,,,,,Mississippi St.
1991,10,278,Luis Cristobal,G,,0,0,0,,,,,,,,,,,,,,,,Miami (FL)
1991,11,306,Ted Popson,TE,1998,0,0,1,17,68,,,,,,,,,103,980,8,,,Portland
1991,12,334,Larry Wanke,QB,,0,0,0,,,,,,,,,,,,,,,,John Carroll
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1990,1,24,Rodney Hampton,RB,1997,0,2,6,54,104,,,,,,1824,6897,49,174,1309,2,,,Georgia
1990,2,51,Mike Fox,DE,1998,0,0,4,42,133,,,,,,,,,,,,,17.0,West Virginia
1990,3,79,Greg Mark,DE,1990,0,0,0,0,6,,,,,,,,,,,,,,Miami (FL)
1990,4,107,Dave Whitmore,DB,1995,0,0,2,13,64,,,,,,,,,,,,2,1.0,S.F. Austin
1990,5,135,Craig Kupp,QB,1991,0,0,0,0,1,3,7,23,0,0,1,5,0,,,,,,Pacific Lutheran
1990,7,191,Aaron Emanuel,RB,,0,0,0,,,,,,,,,,,,,,,,USC
1990,8,218,Barry Voorhees,T,,0,0,0,,,,,,,,,,,,,,,,Cal State-Northridge
1990,9,246,Clint James,DE,,0,0,0,,,,,,,,,,,,,,,,LSU
1990,10,274,Otis Moore,DT,,0,0,0,,,,,,,,,,,,,,,,Clemson
1990,11,302,Tim Downing,DE,,0,0,0,,,,,,,,,,,,,,,,Washington St.
1990,12,329,Matt Stover,K,2009,1,1,19,0,297,0,1,0,0,1,,,,,,,,,Louisiana Tech
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1989,1,18,Brian S. Williams,C,1999,0,0,4,24,129,,,,,,,,,,,,,,Minnesota
1989,3,64,Bob Kratch,G,1996,0,0,4,26,105,,,,,,,,,,,,,,Iowa
1989,3,78,Greg Jackson,DB,2000,0,0,9,54,168,,,,,,,,,,,,32,4.0,LSU
1989,4,93,Lewis Tillman,RB,1995,0,0,1,17,109,,,,,,659,2383,12,43,315,0,,,Jackson St.
1989,4,105,Brad Henke,DE,1989,0,0,0,0,2,,,,,,,,,,,,,,Arizona
1989,5,132,Dave Meggett,RB,1998,0,2,0,43,146,4,8,114,4,0,398,1684,8,336,3038,11,,,Towson St.
1989,6,158,Howard Cross,TE,2001,0,0,10,36,207,,,,,,,,,201,2194,17,,,Alabama
