Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,6,183,Kasey Studdard,G,2011,0,0,1,6,25,,,,,,,,,,,,,,Texas
2007,7,218,Zach Diles,LB,2012,0,0,3,15,67,,,,,,,,,,,,1,1.0,Kansas St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,1,Mario Williams,DE,2012,0,2,6,47,98,,,,,,,,,,,,,63.5,North Carolina St.
2006,2,33,DeMeco Ryans,LB,2012,0,2,6,45,102,,,,,,,,,,,,3,9.5,Alabama
2006,3,65,Charles Spencer,G,2006,0,0,0,1,2,,,,,,,,,,,,,,Pittsburgh
2006,3,66,Eric Winston,T,2012,0,0,6,42,108,,,,,,,,,,,,,,Miami (FL)
2006,4,98,Owen Daniels,TE,2012,0,2,7,46,95,,,,,,,,,361,4365,26,,,Wisconsin
2006,6,170,Wali Lundy,RB,2006,0,0,1,5,14,0,0,0,0,0,124,476,4,33,204,0,,,Virginia
2006,7,251,David Anderson,WR,2011,0,0,0,7,67,,,,,,,,,88,965,4,,,Colorado St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,16,Travis Johnson,DT,2010,0,0,3,16,76,,,,,,,,,,,,1,3.0,Florida St.
2005,3,73,Vernand Morency,RB,2007,0,0,0,11,40,,,,,,171,726,4,57,404,0,,,Oklahoma St.
2005,4,114,Jerome Mathis,WR,2007,1,1,0,4,17,,,,,,,,,6,80,1,,,Hampton
2005,5,151,Drew Hodgdon,C,2007,0,0,0,3,14,,,,,,,,,,,,,,Arizona St.
2005,6,188,C.C. Brown,DB,2011,0,0,3,19,83,,,,,,,,,,,,3,1.0,La-Lafayette
2005,7,227,Kenneth Pettway,DE,2008,0,0,0,2,25,,,,,,,,,,,,,3.0,Grambling St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,1,10,Dunta Robinson,DB,2012,0,0,8,42,131,,,,,,,,,,,,17,5.5,South Carolina
2004,1,27,Jason Babin,LB,2012,0,2,4,42,103,,,,,,,,,,,,,55.0,West. Michigan
2004,4,122,Glenn Earl,DB,2006,0,0,2,11,37,,,,,,,,,,,,3,2.0,Notre Dame
2004,6,170,Vontez Duff,DB,,0,0,0,,,,,,,,,,,,,,,,Notre Dame
2004,6,175,Jammal Lord,DB,2004,0,0,0,0,1,,,,,,,,,,,,,,Nebraska
2004,6,200,Charlie Anderson,LB,2010,0,0,0,8,94,,,,,,,,,,,,,7.5,Mississippi
2004,7,210,Raheem Orr,LB,2004,0,0,0,0,2,,,,,,,,,,,,,,Rutgers
2004,7,211,Sloan Thomas,WR,2005,0,0,0,0,1,,,,,,,,,,,,,,Texas
2004,7,248,B.J. Symons,QB,,0,0,0,,,,,,,,,,,,,,,,Texas Tech
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,3,Andre Johnson,WR,2012,2,6,9,85,138,,,,,,23,54,0,818,11254,56,,,Miami (FL)
2003,2,41,Bennie Joppru,TE,2007,0,0,0,1,19,,,,,,,,,,,,,,Michigan
2003,3,67,Antwan Peek,LB,2007,0,0,1,12,65,,,,,,,,,,,,1,14.0,Cincinnati
2003,3,75,Seth Wand,T,2008,0,0,1,10,53,,,,,,,,,,,,,,NW Missouri St.
2003,3,88,Dave Ragone,QB,2003,0,0,0,1,2,20,40,135,0,1,6,51,0,1,-5,0,,,Louisville
2003,4,101,Domanick Williams,RB,2005,0,0,3,32,40,0,1,0,0,0,770,3195,23,154,1276,5,,,LSU
2003,6,192,Drew Henson,QB,2008,0,0,0,0,9,11,20,98,1,1,1,7,0,,,,,,Michigan
2003,6,214,Keith Wright,DT,,0,0,0,,,,,,,,,,,,,,,,Missouri
2003,7,217,Curry Burns,DB,2006,0,0,0,1,11,,,,,,,,,,,,1,,Louisville
2003,7,233,Chance Pearce,C,,0,0,0,,,,,,,,,,,,,,,,Texas A&M
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,1,David Carr,QB,2012,0,0,5,44,94,1353,2267,14452,65,71,305,1328,9,,,,,,Fresno St.
2002,2,33,Jabar Gaffney,WR,2012,0,0,6,42,158,1,5,39,1,0,9,56,0,447,5690,24,,,Florida
2002,2,50,Chester Pitts,T,2010,0,0,7,42,121,,,,,,,,,,,,,,San Diego St.
2002,3,66,Fred E. Weary,G,2007,0,0,3,13,63,,,,,,,,,,,,,,Tennessee
2002,3,83,Charles Hill,DT,2002,0,0,0,1,16,,,,,,,,,,,,,,Maryland
2002,4,99,Jonathan Wells,RB,2005,0,0,1,10,60,,,,,,374,1167,10,44,323,2,,,Ohio St.
2002,5,136,Jarrod Baxter,FB,2005,0,0,1,3,32,,,,,,9,15,0,7,40,1,,,New Mexico
2002,5,153,Ramon Walker,DB,2005,0,0,0,3,35,,,,,,,,,,,,,,Pittsburgh
2002,6,173,Demarcus Faggins,DB,2009,0,0,3,14,84,,,,,,,,,,,,5,1.0,Kansas St.
2002,6,190,Howard Green,DT,2011,0,0,1,14,76,,,,,,,,,,,,,2.0,LSU
2002,7,229,Stylez G. White,DE,2010,0,0,2,16,63,,,,,,,,,,,,,24.0,Minnesota
2002,7,261,Ahmad Miller,DT,,0,0,0,,,,,,,,,,,,,,,,UNLV
