Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,29,Ben Grubbs,G,2012,0,1,6,34,90,,,,,,,,,,,,,,Auburn
2007,3,74,Yamon Figurs,WR,2010,0,0,0,2,34,,,,,,3,-7,0,5,103,1,,,Kansas St.
2007,3,86,Marshall Yanda,T,2012,0,2,4,36,83,,,,,,,,,,,,,,Iowa
2007,4,134,Antwan Barnes,LB,2012,0,0,0,9,78,,,,,,,,,,,,1,23.5,Florida International
2007,4,137,Le'Ron McClain,RB,2012,1,2,6,15,95,,,,,,343,1278,13,92,564,3,,,Alabama
2007,5,174,Troy Smith,QB,2010,0,0,0,6,20,121,234,1734,8,5,52,230,3,1,36,0,,,Ohio St.
2007,6,207,Prescott Burgess,LB,2011,0,0,0,2,40,,,,,,,,,,,,,,Michigan
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,12,Haloti Ngata,DT,2012,2,4,7,80,109,,,,,,,,,,,,3,22.0,Oregon
2006,2,56,Chris Chester,G,2012,0,0,5,31,104,,,,,,,,,,,,,,Oklahoma
2006,3,87,David Pittman,DB,2007,0,0,0,1,7,,,,,,,,,,,,2,,
2006,4,111,Demetrius Williams,WR,2010,0,0,0,9,46,,,,,,,,,63,1008,4,,,Oregon
2006,4,132,P.J. Daniels,RB,2007,0,0,0,0,1,,,,,,,,,,,,,,Georgia Tech
2006,5,146,Dawan Landry,DB,2012,0,0,6,37,98,,,,,,,,,,,,12,5.5,Georgia Tech
2006,5,166,Quinn Sypniewski,TE,2007,0,0,1,4,31,,,,,,,,,36,261,1,,,Colorado
2006,6,203,Sam Koch,P,2012,0,0,5,0,112,1,1,13,0,0,4,26,1,,,,,,Nebraska
2006,6,208,Derrick Martin,DB,2012,0,0,0,6,66,,,,,,,,,,,,3,1.0,Wyoming
2006,7,219,Ryan LaCasse,LB,2006,0,0,0,1,12,,,,,,,,,,,,,,Syracuse
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,22,Mark Clayton,WR,2011,0,0,5,27,83,2,5,32,1,0,26,118,2,260,3448,14,,,Oklahoma
2005,2,53,Dan Cody,DE,2006,0,0,0,0,3,,,,,,,,,,,,,,Oklahoma
2005,2,64,Adam Terry,T,2010,0,0,0,8,48,,,,,,,,,,,,,,Syracuse
2005,4,124,Jason Brown,C,2011,0,0,6,26,100,,,,,,,,,,,,,,North Carolina
2005,5,158,Justin Green,FB,2007,0,0,0,3,39,,,,,,5,4,0,13,65,0,,,Montana
2005,6,213,Derek Anderson,QB,2012,0,1,3,20,55,760,1440,9206,53,55,78,203,5,,,,,,Oregon St.
2005,7,234,Mike Smith,LB,2006,0,0,0,1,14,,,,,,,,,,,,,,Texas Tech
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,2,51,Dwan Edwards,DT,2012,0,0,5,28,97,,,,,,,,,,,,2,11.5,Oregon St.
2004,3,82,Devard Darling,WR,2008,0,0,1,4,46,,,,,,,,,37,578,4,,,Washington St.
2004,5,153,Roderick Green,LB,2008,0,0,0,6,54,,,,,,,,,,,,,12.0,Central Missouri St.
2004,6,187,Josh Harris,QB,,0,0,0,,,,,,,,,,,,,,,,Bowling Green
2004,6,199,Clarence Moore,WR,2006,0,0,0,3,29,,,,,,,,,29,353,5,,,Northern Arizona
2004,7,244,Derek Abney,WR,,0,0,0,,,,,,,,,,,,,,,,Kentucky
2004,7,246,Brian Rimpf,G,2005,0,0,0,2,16,,,,,,,,,,,,,,East Carolina
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,10,Terrell Suggs,LB,2012,1,5,8,84,149,,,,,,,,,,,,7,84.5,Arizona St.
2003,1,19,Kyle Boller,QB,2011,0,0,4,18,67,861,1519,8931,48,54,176,572,2,,,,,,California
2003,3,77,Musa Smith,RB,2007,0,0,0,6,49,,,,,,132,496,4,54,363,0,,,Georgia
2003,4,109,Jarret Johnson,DE,2012,0,0,7,51,158,,,,,,,,,,,,3,21.5,Alabama
2003,4,134,Ovie Mughelli,FB,2011,0,1,4,12,107,,,,,,42,120,1,62,490,6,,,Wake Forest
2003,5,146,Aubrayo Franklin,DT,2012,0,0,6,36,126,,,,,,,,,,,,1,4.0,Tennessee
2003,5,173,Tony Pashos,T,2011,0,0,4,31,92,,,,,,,,,,,,,,Illinois
2003,6,182,Gerome Sapp,DB,2007,0,0,0,5,54,,,,,,,,,,,,,2.0,Notre Dame
2003,7,223,Trent Smith,TE,2005,0,0,0,0,5,,,,,,,,,3,7,0,,,Oklahoma
2003,7,250,Mike Mabry,C,,0,0,0,,,,,,,,,,,,,,,,Central Florida
2003,7,258,Antwoine Sanders,DB,,0,0,0,,,,,,,,,,,,,,,,Utah
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,24,Ed Reed,DB,2012,5,9,11,106,160,,,,,,,,,,,,61,6.0,Miami (FL)
2002,2,52,Anthony Weaver,DE,2008,0,0,6,41,103,,,,,,,,,,,,3,15.5,Notre Dame
2002,4,112,Dave Zastudil,P,2012,0,0,8,0,144,0,1,0,0,0,4,-15,0,,,,,,Ohio
2002,4,123,Ron Johnson,WR,2003,0,0,0,1,22,,,,,,,,,11,126,1,,,Minnesota
2002,5,155,Terry Jones,TE,2005,0,0,3,9,53,,,,,,,,,59,493,5,,,Alabama
2002,6,195,Lamont Brightful,DB,2004,0,0,0,4,30,,,,,,,,,,,,,,East. Washington
2002,6,206,Javin Hunter,WR,2002,0,0,0,0,12,,,,,,1,9,0,5,35,0,,,Notre Dame
2002,6,207,Chester Taylor,RB,2011,0,0,1,39,151,1,2,4,1,0,1160,4740,26,299,2324,6,,,Toledo
2002,6,209,Chad Williams,DB,2006,0,0,0,10,79,,,,,,,,,,,,9,7.0,Southern Miss
2002,7,236,Wes Pate,QB,,0,0,0,,,,,,,,,,,,,,,,S.F. Austin
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2001,1,31,Todd Heap,TE,2012,0,2,8,56,146,0,1,0,0,0,8,61,0,499,5869,42,,,Arizona St.
2001,2,62,Gary Baxter,DB,2006,0,0,3,20,62,,,,,,,,,,,,8,3.0,Baylor
2001,3,92,Casey Rabach,C,2010,0,0,7,35,137,,,,,,,,,,,,,,Wisconsin
2001,4,126,Ed Hartwell,LB,2006,0,0,3,29,77,,,,,,,,,,,,1,7.0,West. Illinois
2001,5,161,Chris Barnes,RB,,0,0,0,,,,,,,,,,,,,,,,New Mexico St.
2001,6,194,Joe Maese,C,2005,0,0,0,4,65,,,,,,,,,,,,,,New Mexico
2001,7,231,Dwayne Missouri,DE,2001,0,0,0,0,3,,,,,,,,,,,,,,Northwestern
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,1,5,Jamal Lewis,RB,2009,1,1,9,70,131,,,,,,2542,10607,58,221,1879,4,,,Tennessee
2000,1,10,Travis Taylor,WR,2007,0,0,7,32,101,,,,,,32,232,0,312,4017,22,,,Florida
2000,3,75,Chris Redman,QB,2011,0,0,0,9,30,286,500,3179,21,14,33,25,0,,,,,,Louisville
2000,5,148,Richard Mercier,G,,0,0,0,,,,,,,,,,,,,,,,Miami (FL)
2000,6,186,Adalius Thomas,LB,2009,1,2,8,64,135,,,,,,,,,,,,7,53.0,Southern Miss
2000,6,191,Cedric Woodard,DT,2004,0,0,2,14,60,,,,,,,,,,,,,1.0,Texas
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1999,1,10,Chris McAlister,DB,2009,1,3,9,73,137,,,,,,,,,,,,26,,Arizona
