Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,3,80,Paul Williams,WR,2008,0,0,0,0,5,,,,,,,,,1,7,0,,,Fresno St.
2007,4,115,Leroy Harris,C,2012,0,0,3,16,75,,,,,,,,,,,,,,North Carolina St.
2007,4,128,Chris Davis,WR,2008,0,0,0,0,17,,,,,,2,19,0,7,69,0,,,Florida St.
2007,5,152,Antonio Johnson,DT,2012,0,0,3,18,67,,,,,,,,,,,,,1.5,Mississippi St.
2007,6,189,Joel Filani,WR,,0,0,0,,,,,,,,,,,,,,,,Texas Tech
2007,6,204,Jacob Ford,LB-DE,2010,0,0,0,8,43,,,,,,,,,,,,,15.5,Central Arkansas
2007,6,206,Ryan Smith,DB,,0,0,0,,,,,,,,,,,,,,,,Florida
2007,7,223,Michael Otto,T,2012,0,0,0,4,48,,,,,,,,,,,,,,Purdue
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,3,Vince Young,QB,2011,0,2,4,33,60,755,1304,8964,46,51,282,1459,12,,,,,,Texas
2006,2,45,LenDale White,RB,2009,0,0,1,14,58,,,,,,628,2349,24,42,204,0,,,USC
2006,4,102,Calvin Lowry,DB,2008,0,0,0,8,48,,,,,,,,,,,,2,,Penn St.
2006,4,114,Joe Toledo,T,,0,0,0,,,,,,,,,,,,,,,,Washington
2006,4,116,Stephen Tulloch,LB,2012,0,0,5,38,112,,,,,,,,,,,,4,8.0,North Carolina St.
2006,5,137,Terna Nande,LB,2006,0,0,0,0,1,,,,,,,,,,,,,,
2006,5,169,Jesse Mahelona,DT,2007,0,0,0,1,11,,,,,,,,,,,,,1.0,Tennessee
2006,6,172,Jonathan Orr,WR,,0,0,0,,,,,,,,,,,,,,,,Wisconsin
