Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,4,112,Daniel Sepulveda,P,2011,0,0,3,0,52,2,2,65,0,0,,,,,,,,,Baylor
2007,4,132,Ryan McBean,DT,2012,0,0,1,11,47,,,,,,,,,,,,,4.0,Oklahoma St.
2007,5,156,Cameron Stephenson,G,,0,0,0,,,,,,,,,,,,,,,,Rutgers
2007,5,170,William Gay,DB,2012,0,0,3,25,96,,,,,,,,,,,,5,4.0,Louisville
2007,7,227,Dallas Baker,WR,2008,0,0,0,0,8,,,,,,,,,1,6,0,,,Florida
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,25,Santonio Holmes,WR,2012,0,0,5,45,92,0,1,0,0,0,16,89,0,358,5507,35,,,Ohio St.
2006,3,83,Anthony Smith,DB,2011,0,0,1,15,76,,,,,,,,,,,,7,,Syracuse
2006,3,95,Willie Reid,WR,2007,0,0,0,1,7,,,,,,,,,4,54,0,,,Florida St.
2006,4,131,Willie Colon,G,2012,0,0,4,24,63,,,,,,,,,,,,,,Hofstra
2006,4,133,Orien Harris,DT,2009,0,0,0,2,20,,,,,,,,,,,,,,Miami (FL)
2006,5,164,Omar Jacobs,QB,,0,0,0,,,,,,,,,,,,,,,,Bowling Green
2006,5,167,Charles Davis,TE,,0,0,0,,,,,,,,,,,,,,,,Purdue
2006,6,201,Marvin Philip,C,,0,0,0,,,,,,,,,,,,,,,,California
2006,7,240,Cedric Humes,RB,,0,0,0,,,,,,,,,,,,,,,,Virginia Tech
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,30,Heath Miller,TE,2012,0,2,8,52,123,,,,,,1,6,0,408,4680,39,,,Virginia
2005,2,62,Bryant McFadden,DB,2011,0,0,3,27,96,,,,,,1,-2,0,,,,9,4.0,Florida St.
2005,3,93,Trai Essex,T,2012,0,0,1,16,77,,,,,,,,,,,,,,Northwestern
2005,4,131,Fred Gibson,WR,,0,0,0,,,,,,,,,,,,,,,,Georgia
2005,5,166,Rian Wallace,LB,2006,0,0,0,2,16,,,,,,,,,,,,1,,Temple
2005,6,204,Chris Kemoeatu,G,2011,0,0,3,22,75,,,,,,,,,,,,,,Utah
2005,7,228,Shaun Nua,DE,,0,0,0,,,,,,,,,,,,,,,,BYU
2005,7,244,Noah Herron,RB,2006,0,0,0,4,23,,,,,,85,273,3,29,211,2,,,Northwestern
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,1,11,Ben Roethlisberger,QB,2012,0,2,9,86,127,2374,3762,29844,191,108,318,1036,14,1,-7,0,,,
2004,2,38,Ricardo Colclough,DB,2009,0,0,0,2,43,,,,,,,,,,,,1,2.5,Tusculum
2004,3,75,Max Starks,T,2012,0,0,6,43,123,,,,,,,,,,,,,,Florida
2004,5,145,Nathaniel Adibi,DE,,0,0,0,,,,,,,,,,,,,,,,Virginia Tech
2004,6,177,Bo Lacy,T,,0,0,0,,,,,,,,,,,,,,,,Arkansas
2004,6,194,Matt Kranchick,TE,2005,0,0,0,0,8,,,,,,,,,1,6,0,,,Penn St.
2004,6,197,Drew Caylor,C,,0,0,0,,,,,,,,,,,,,,,,Stanford
2004,7,212,Eric Taylor,DT,2005,0,0,0,0,1,,,,,,,,,,,,,,Memphis
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,16,Troy Polamalu,DB,2012,4,7,7,88,130,,,,,,,,,,,,30,10.0,USC
2003,2,59,Alonzo Jackson,LB,2005,0,0,0,3,18,,,,,,,,,,,,,,Florida St.
2003,4,125,Ike Taylor,DB,2012,0,0,8,49,153,,,,,,,,,,,,14,3.0,La-Lafayette
2003,5,163,Brian St. Pierre,QB,2010,0,0,0,0,3,15,33,185,2,3,5,-1,0,,,,,,Boston Col.
2003,7,242,J.T. Wall,RB,,0,0,0,,,,,,,,,,,,,,,,Georgia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,30,Kendall Simmons,G,2009,0,0,5,31,84,,,,,,,,,,,,,,Auburn
2002,2,62,Antwaan Randle El,WR,2010,0,0,4,42,143,22,27,323,6,0,79,438,0,370,4467,15,,,Indiana
2002,3,94,Chris Hope,DB,2012,0,1,7,44,163,,,,,,,,,1,81,1,20,4.0,Florida St.
2002,4,128,Larry Foote,LB,2012,0,0,7,56,171,,,,,,,,,,,,3,23.0,Michigan
