Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,17,Jarvis Moss,DE,2011,0,0,0,3,53,,,,,,,,,,,,,6.0,Florida
2007,2,56,Tim Crowder,DE,2011,0,0,1,10,60,,,,,,,,,,,,,10.5,Texas
2007,3,70,Ryan Harris,T,2012,0,0,3,17,61,,,,,,,,,,,,,,Notre Dame
2007,4,121,Marcus Thomas,DT,2011,0,0,2,14,76,,,,,,,,,,,,2,1.0,Florida
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,11,Jay Cutler,QB,2012,0,1,6,63,93,1796,2955,21316,136,100,262,1116,6,,,,,,Vanderbilt
2006,2,61,Tony Scheffler,TE,2012,0,0,1,32,102,,,,,,3,7,0,251,3125,22,1,,West. Michigan
2006,4,119,Brandon Marshall,WR,2012,1,4,6,59,107,0,1,0,0,0,20,118,0,612,7755,45,,,Central Florida
2006,4,126,Elvis Dumervil,DE,2012,1,3,5,47,91,,,,,,,,,,,,1,63.5,Louisville
2006,4,130,Domenik Hixon,WR,2012,0,0,0,17,61,,,,,,3,18,0,102,1405,6,,,Akron
2006,5,161,Chris Kuper,G,2012,0,0,5,27,86,,,,,,,,,,,,,,North Dakota
2006,6,198,Greg Eslinger,C,,0,0,0,,,,,,,,,,,,,,,,Minnesota
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,2,56,Darrent Williams,DB,2006,0,0,2,10,27,,,,,,,,,,,,6,1.0,Oklahoma St.
2005,3,76,Karl Paymah,DB,2010,0,0,0,6,74,,,,,,,,,,,,3,,Washington St.
2005,3,97,Domonique Foxworth,DB,2011,0,0,2,18,78,,,,,,,,,,,,8,,Maryland
2005,3,101,Maurice Clarett,RB,,0,0,0,,,,,,,,,,,,,,,,Ohio St.
2005,6,200,Chris Myers,G,2012,0,2,6,41,120,,,,,,,,,,,,,,Miami (FL)
2005,7,239,Paul Ernster,K,2008,0,0,1,0,22,,,,,,,,,,,,,,Northern Arizona
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,1,17,D.J. Williams,LB,2012,0,0,7,46,127,,,,,,,,,,,,2,20.5,Miami (FL)
2004,2,41,Tatum Bell,RB,2008,0,0,1,22,54,,,,,,569,2773,16,71,419,0,,,Oklahoma St.
