Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,7,217,Tyler Thigpen,QB,2012,0,0,1,10,29,275,509,3222,21,18,79,469,3,1,37,1,,,Coastal Carolina
2007,7,233,Chandler Williams,WR,,0,0,0,,,,,,,,,,,,,,,,Florida International
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,17,Chad Greenway,LB,2012,0,2,6,49,96,,,,,,,,,,,,6,11.5,Iowa
2006,2,48,Cedric Griffin,DB,2012,0,0,4,27,89,,,,,,,,,,,,8,,Texas
2006,2,51,Ryan Cook,C,2012,0,0,3,19,90,,,,,,,,,,,,,,New Mexico
2006,2,64,Tarvaris Jackson,QB,2012,0,0,2,21,52,625,1053,7075,38,35,159,643,5,,,,,,Alabama St.
2006,4,127,Ray Edwards,DE,2012,0,0,5,37,97,,,,,,,,,,,,,33.0,Purdue
2006,5,149,Greg Blue,DB,2007,0,0,0,2,20,,,,,,,,,,,,,,Georgia
2006,6,185,Tyrone Culver,DB,2012,0,0,0,7,80,,,,,,,,,,,,2,1.0,Fresno St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,7,Troy Williamson,WR,2009,0,0,1,8,49,,,,,,6,58,0,87,1131,4,,,South Carolina
2005,1,18,Erasmus James,DE,2008,0,0,1,6,28,,,,,,,,,,,,,5.0,Wisconsin
2005,2,49,Marcus Johnson,G,2009,0,0,1,7,53,,,,,,,,,,,,,,Mississippi
2005,3,80,Dustin Fox,DB,2008,0,0,0,0,12,,,,,,,,,,,,,,Ohio St.
2005,4,112,Ciatrick Fason,RB,2006,0,0,0,1,18,,,,,,50,161,5,3,19,0,,,Florida
2005,6,191,C.J. Mosley,DT,2012,0,0,1,15,98,,,,,,,,,,,,,11.5,Missouri
2005,7,219,Adrian Ward,DB,,0,0,0,,,,,,,,,,,,,,,,Texas-El Paso
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,1,20,Kenechi Udeze,DE,2007,0,0,3,19,51,,,,,,,,,,,,,11.0,USC
2004,2,48,Dontarrious Thomas,LB,2008,0,0,0,8,63,,,,,,,,,,,,,1.5,Auburn
2004,3,88,Darrion Scott,DE,2011,0,0,2,15,57,,,,,,,,,,,,,9.5,Ohio St.
2004,4,115,Nat Dorsey,T,2007,0,0,1,6,40,,,,,,,,,,,,,,Georgia Tech
2004,4,119,Mewelde Moore,RB,2012,0,0,1,29,122,2,4,21,2,0,507,2267,6,220,1952,8,,,Tulane
2004,5,155,Rod Davis,LB,2006,0,0,0,4,39,,,,,,,,,,,,,,Southern Miss
2004,6,184,Deandre Eiland,DB,,0,0,0,,,,,,,,,,,,,,,,South Carolina
2004,7,220,Jeff Dugan,TE,2010,0,0,0,7,79,,,,,,11,23,0,27,191,3,,,Maryland
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,9,Kevin Williams,DT,2012,5,6,10,92,156,,,,,,,,,,,,4,56.5,Oklahoma St.
2003,2,40,E.J. Henderson,LB,2011,0,1,7,47,125,,,,,,,,,,,,5,15.5,Maryland
2003,3,71,Nate Burleson,WR,2012,0,0,8,44,126,,,,,,38,265,0,418,5169,38,,,Nevada-Reno
2003,4,105,Onterrio Smith,RB,2004,0,0,0,14,26,,,,,,231,1123,7,51,523,2,,,Oregon
2003,6,180,Eddie Johnson,P,2003,0,0,1,0,14,,,,,,2,15,0,,,,,,Idaho St.
2003,6,190,Mike Nattiel,LB,2004,0,0,0,3,32,,,,,,,,,,,,1,,Florida
2003,7,221,Keenan Howry,WR,2005,0,0,0,0,23,,,,,,,,,3,18,0,,,Oregon
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,7,Bryant McKinnie,T,2012,0,1,10,61,164,,,,,,,,,,,,,,Miami (FL)
2002,2,38,Raonall Smith,LB,2007,0,0,0,7,50,,,,,,,,,,,,1,2.5,Washington St.
2002,3,70,Willie Offord,SS,2005,0,0,0,5,47,,,,,,,,,,,,2,,South Carolina
2002,4,105,Brian Williams,DB,2011,0,0,7,36,132,,,,,,,,,,,,19,5.0,North Carolina St.
2002,4,132,Edward Ta'amu,G,,0,0,0,,,,,,,,,,,,,,,,Utah
