Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,7,212,Courtney L. Brown,DB,2008,0,0,0,2,17,,,,,,,,,,,,,,Cal Poly-SLO
2007,7,237,Alan Ball,DB,2012,0,0,1,10,71,,,,,,,,,,,,3,0.5,Illinois
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,18,Bobby Carpenter,LB,2012,0,0,0,12,93,,,,,,,,,,,,1,3.5,Ohio St.
2006,2,53,Anthony Fasano,TE,2012,0,0,5,30,108,,,,,,,,,205,2373,24,,,Notre Dame
2006,3,92,Jason Hatcher,DE,2012,0,0,2,18,104,,,,,,,,,,,,1,16.0,Grambling St.
2006,4,125,Skyler Green,WR,2008,0,0,0,0,11,,,,,,1,1,0,3,33,0,,,LSU
2006,5,138,Pat Watkins,DB,2010,0,0,1,7,53,,,,,,,,,,,,4,,Florida St.
2006,6,182,Montavious Stanley,DT,2009,0,0,0,5,33,,,,,,,,,,,,,1.5,Louisville
2006,7,211,Pat McQuistan,T,2012,0,0,0,6,71,,,,,,,,,,,,,,Weber St.
2006,7,224,E.J. Whitley,C,,0,0,0,,,,,,,,,,,,,,,,Texas Tech
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,11,DeMarcus Ware,LB,2012,4,7,8,84,128,,,,,,,,,,,,1,111.0,
2005,1,20,Marcus R. Spears,DE,2012,0,0,5,34,119,,,,,,,,,,,,,10.0,LSU
2005,2,42,Kevin Burnett,LB,2012,0,0,3,35,120,,,,,,,,,,,,4,17.5,Tennessee
2005,4,109,Marion Barber,RB,2011,0,1,3,40,99,0,1,0,0,0,1156,4780,53,179,1330,6,,,Minnesota
2005,4,132,Chris L. Canty,DE,2012,0,0,5,36,113,,,,,,,,,,,,,19.0,Virginia
2005,6,208,Justin Beriault,DB,,0,0,0,,,,,,,,,,,,,,,,Ball St.
