Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,4,135,Joe Cohen,DE-DT,2009,0,0,0,1,7,,,,,,,,,,,,,1.0,Florida
2007,5,147,Tarell Brown,DB,2012,0,0,2,19,87,,,,,,,,,,,,11,,Texas
2007,6,187,Thomas Clayton,RB,,0,0,0,,,,,,,,,,,,,,,,Kansas St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,6,Vernon Davis,TE,2012,0,1,7,45,104,,,,,,5,11,0,345,4351,40,,,Maryland
2006,1,22,Manny Lawson,DE,2012,0,0,6,37,96,,,,,,,,,,,,2,18.0,North Carolina St.
2006,3,84,Brandon Williams,WR,2007,0,0,0,0,23,,,,,,,,,,,,,,Wisconsin
2006,4,100,Michael Robinson,WR,2012,0,1,0,8,103,1,2,28,0,0,114,422,2,73,583,3,,,Penn St.
2006,5,140,Parys Haralson,DE,2012,0,0,5,30,86,,,,,,,,,,,,,21.5,Tennessee
2006,6,175,Delanie Walker,WR,2012,0,0,2,16,99,,,,,,11,44,0,123,1465,8,,,Central Missouri St.
2006,6,192,Marcus Hudson,DB,2010,0,0,0,4,62,,,,,,,,,,,,,,North Carolina St.
2006,6,197,Melvin Oliver,DE,2006,0,0,1,6,16,,,,,,,,,,,,,1.0,LSU
2006,7,254,Vickiel Vaughn,DB,,0,0,0,,,,,,,,,,,,,,,,Arkansas
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,1,Alex Smith,QB,2012,0,0,7,38,80,1290,2177,14280,81,63,212,761,4,1,-6,0,,,Utah
2005,2,33,David Baas,G,2012,0,0,6,29,119,,,,,,,,,,,,,,Michigan
2005,3,65,Frank Gore,RB,2012,0,4,7,68,116,,,,,,1911,8839,51,315,2631,10,,,Miami (FL)
2005,3,94,Adam Snyder,T,2012,0,0,5,30,121,,,,,,,,,,,,,,Oregon
2005,5,137,Ronald Fields,DT,2011,0,0,2,13,87,,,,,,,,,,,,,1.0,Mississippi St.
2005,5,174,Rasheed Marshall,WR,2005,0,0,0,0,12,,,,,,1,-7,0,1,-1,0,,,West Virginia
2005,6,205,Derrick Johnson,DB,2006,0,0,0,2,19,,,,,,,,,,,,,1.0,Washington
2005,7,215,Daven Holly,DB,2007,0,0,1,10,32,,,,,,,,,,,,5,,Cincinnati
2005,7,223,Marcus Maxwell,WR,2007,0,0,0,0,9,,,,,,,,,1,5,0,,,Oregon
2005,7,248,Patrick Estes,TE,2007,0,0,0,0,8,,,,,,,,,,,,,,Virginia
2005,7,249,Billy Bajema,TE,2012,0,0,4,9,114,,,,,,,,,38,398,2,,,Oklahoma St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,1,31,Rashaun Woods,WR,2004,0,0,0,1,14,,,,,,,,,7,160,1,,,Oklahoma St.
2004,2,46,Justin Smiley,G,2010,0,0,5,24,88,,,,,,,,,,,,,,Alabama
2004,2,58,Shawntae Spencer,DB,2012,0,0,5,28,100,,,,,,,,,,,,11,2.5,Pittsburgh
2004,3,77,Derrick Hamilton,WR,2004,0,0,0,0,2,,,,,,,,,,,,,,Clemson
2004,4,104,Isaac Sopoaga,DT,2012,0,0,5,35,124,,,,,,,,,1,18,0,,7.5,Hawaii
2004,4,127,Richard Seigler,LB,2006,0,0,0,0,9,,,,,,,,,,,,,,Oregon St.
2004,6,188,Andy Lee,P,2012,3,3,7,0,144,,,,,,1,-18,0,,,,,,Pittsburgh
2004,6,198,Keith Lewis,DB,2008,0,0,1,7,76,,,,,,,,,,,,3,1.0,Oregon
2004,7,217,Cody Pickett,QB,2005,0,0,0,1,7,18,45,195,0,4,14,47,0,,,,,,Washington
